Date,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Total_Demanda_Dia
2024-01-04,1061,8491.78,8590.53,8381.85,8231.27,8110.44,8254.05,8853.13,10314.97,10915.16,10838.23,11039.32,10908.52,10763.36,10880.96,10871.49,11299.17,11079.36,10715.31,10093.05,10028.83,9738.15,9251.9,8866.65,8956.86,235474.33999999997
2024-01-04,1062,2144.88,2134.31,2203.39,2179.4,2236.93,2318.02,3220.4,3623.42,3839.87,3822.22,3812.03,3769.94,3640.6,3965.45,4162.84,3736.91,3410.36,2846.73,2766.19,2766.05,2785.17,2639.5,2557.34,2461.71,73043.66000000002
2024-01-04,1063,1397.05,1396.49,1434.86,1392.87,1366.91,1433.89,1440.2,1643.78,1751.66,1526.49,1554.79,1778.73,1861.33,1932.57,1902.06,1548.97,1296.1,1412.49,1462.16,1407.97,1449.06,1419.81,1339.8,1466.37,36616.41000000001
2024-01-04,1071,5508.29,5444.89,5254.75,5178.55,5071.31,4812.31,5051.63,6207.79,6766.73,7294.47,7460.08,7671.52,7290.39,7733.51,7566.01,7462.08,7125.7,6122.67,5836.89,5768.16,5694.19,5659.35,5597.16,5910.26,149488.69
2024-01-04,1072,426.17,338.21,280.69,398.43,339.64,701.94,1087.51,1093.27,1274.38,1099.24,1240.57,1046.05,827.43,1015.78,1042.02,983.04,952.93,784.9,420.06,362.77,315.71,325.88,398.84,513.74,17269.2
2024-01-04,1081,8151.22,8169.81,8068.31,8138.52,8261.61,8738.37,8848.13,9127.35,8615.24,8212.34,8382.51,8444.63,8679.35,8137.24,8278.68,8562.46,8750.41,8876.48,8579.9,8509.87,8547.44,8447.65,8455.84,8557.96,203541.32
2024-01-04,1082,17016.49,16581.43,16417.64,16586.35,17050.92,16938.74,17697.49,16429.61,12834.32,12001.36,12319.37,11735.83,12259.0,13384.43,13120.38,13021.85,14851.21,17879.31,17656.72,18109.92,17935.53,17148.25,16838.35,17282.96,373097.46
2024-01-04,1083,1389.26,1380.2,1376.26,1441.62,1422.13,1523.33,1626.49,1600.0,1413.31,1234.95,1294.44,1320.81,2241.31,2269.66,2414.26,2544.29,2691.99,2919.77,2984.43,2916.94,2687.73,2931.67,2778.18,2804.24,49207.27
2024-01-04,1084,403.17,301.17,373.31,406.25,470.26,570.04,637.41,806.88,817.36,817.99,764.73,905.75,915.13,944.04,932.22,885.77,737.64,537.88,502.11,583.34,571.05,515.77,465.15,466.66,15331.079999999998
2024-01-04,1089,17120.48,17120.27,17207.96,17175.68,17553.75,17739.62,18735.9,19916.22,19899.89,19792.18,19815.18,19358.42,19243.3,19383.55,19852.25,20720.38,21353.5,21611.82,21565.49,21240.34,20826.92,20221.14,20236.46,20411.31,468102.01
2024-01-04,1090,42966.04,42000.46,42679.92,42029.36,42212.44,42423.83,40293.38,40087.95,38228.75,38126.84,36329.38,37365.55,36815.55,36999.04,35951.83,39863.4,43624.09,45916.78,42901.44,42513.86,44008.4,45408.02,42557.41,42039.63,983343.3500000001
2024-01-04,1101,4839.71,4548.47,4607.98,4543.88,4650.82,3997.12,4142.61,4695.63,4642.08,4702.66,4011.58,4139.32,4075.93,4182.1,4213.54,4117.52,3687.65,4076.51,4181.49,4195.01,4164.41,4191.46,4144.87,3856.21,102608.56000000001
2024-01-04,1102,143.97,135.55,128.26,132.42,140.68,142.31,140.82,232.66,269.71,335.04,351.64,406.25,442.59,458.45,461.43,439.56,448.35,373.13,237.5,175.74,185.51,180.79,167.24,160.84,6290.4400000000005
2024-01-04,1103,35225.56,35852.13,35345.89,35919.34,36345.16,35943.79,34007.35,33338.52,33578.54,33771.23,33503.5,33812.16,34774.8,34345.05,34548.87,35382.72,35252.8,35673.28,36101.04,36234.62,35218.19,35660.33,35187.12,35973.28,840995.27
2024-01-04,1104,36850.03,38044.11,37218.34,35995.63,36023.16,34912.06,36227.96,37451.64,36431.31,35328.93,34302.56,32304.56,31408.39,31910.28,30996.11,32261.9,33538.11,33903.29,36139.37,38108.3,38476.49,38079.02,36035.03,34844.4,846790.9800000001
2024-01-05,1011,30675.8,30293.46,30047.48,29382.41,29977.29,30843.46,32456.75,34036.24,35200.9,34448.57,35012.74,35401.21,35575.52,35918.74,36920.99,36671.17,36282.54,35134.86,34640.19,34011.14,32671.47,31310.21,30581.56,30133.25,797627.9500000001
2024-01-05,1012,3532.77,3566.06,3502.44,3355.43,3473.19,3346.25,3428.57,3663.24,3233.44,3445.25,3899.49,4219.64,4038.65,4091.72,3968.11,3915.6,3827.36,3794.5,3681.74,3529.07,3490.33,3368.9,3573.83,3454.0,87399.58
2024-01-05,1020,5591.92,5409.8,5323.15,5148.17,5197.06,5203.16,5581.4,5792.73,5657.48,5809.21,5939.45,6111.39,6143.86,6066.08,6188.28,6280.45,6356.7,6178.55,6125.12,6151.6,6126.77,5938.12,5844.51,5820.29,139985.25
2024-01-05,1030,22406.95,22001.5,21847.88,22870.81,23279.3,22533.15,23965.13,23609.84,23171.95,21882.14,22451.13,22632.96,23109.85,24517.34,24974.91,24608.21,24409.04,25576.9,26536.89,26925.62,27229.29,25366.41,24678.21,24141.91,574727.3200000001
2024-01-05,1040,29395.09,29052.56,29060.17,29662.91,30367.79,31891.03,32937.14,33838.28,34431.61,34799.17,35884.78,36116.76,35971.07,34850.94,34560.31,34851.26,34570.08,33704.42,33900.54,33806.86,32575.53,30824.87,30108.02,29517.12,786678.31
2024-01-05,1051,32463.31,32735.58,31844.08,31965.11,31246.66,30393.31,32159.12,34043.85,36349.5,36277.92,36155.29,35740.04,33656.79,36528.14,37107.34,37424.17,36747.33,38489.32,37916.47,39497.55,39026.3,37293.76,35844.05,36374.46,847279.45
